loggingTime(txt),loggingSample(N),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z)
2025-01-19T19:42:51.531+08:00,166,1309839.870910375,1.643818556929385,-0.051424114,0.04856508935854707,0.09462478011846542,-0.020753831,0.1151987984776497,0.01813781633973122,0.0159837007522583,-0.016064465,XArbitraryCorrectedZVertical,0.03535014371083697,0.0002797542258059099,0.7315641019668191,0.6808555720271542,-0.051340848,-0.048546001,-0.997500598,44.7800178527832,2.100671768188477,-20.32679749,-1,2
2025-01-19T19:42:51.560+08:00,167,1309839.901138375,1.64731011754083,-0.052282526,0.05082779449294102,0.06911802291870117,-0.008046718,0.1044197753071785,0.01282363757491112,0.01989156007766724,0.01357924938201904,XArbitraryCorrectedZVertical,0.0364318638546926,0.000879747011441774,0.7326956682118037,0.679580086354686,-0.05219122,-0.050805911,-0.997343898,44.60807800292969,1.762798309326172,-19.88227844,-1,2
2025-01-19T19:42:51.590+08:00,168,1309839.931366375,1.650021238950479,-0.052833012,0.05194681863523005,0.005530524998903275,-0.007135118,0.0735073983669281,0.001437250524759293,0.02181782573461533,0.008991658687591553,XArbitraryCorrectedZVertical,0.0370116766999319,0.001153324345730427,0.7335855756914385,0.6785876677143879,-0.052737202,-0.051923458,-0.99725759,44.21681213378906,1.485992431640625,-19.81852722,-1,2
2025-01-19T19:42:51.620+08:00,169,1309839.961594375,1.651664693464802,-0.052469621,0.05074569087920119,-0.070032492,0.01967901363968849,0.03890508413314819,-0.007146407,0.01324828341603279,0.006676673889160156,XArbitraryCorrectedZVertical,0.03647074809021501,0.0008654659346314356,0.7341716594857257,0.6779832568914067,-0.052378036,-0.050723914,-0.997338295,44.03226470947266,1.525476455688477,-20.23971558,-1,2
2025-01-19T19:42:51.653+08:00,170,1309839.991822375,1.65256951541665,-0.053024662,0.04888220507823569,-0.045410689,-0.033275913,0.02850965782999992,0.008197832852602005,0.01778054237365723,0.003001689910888672,XArbitraryCorrectedZVertical,0.03604369660212613,8.722094269421197e-06,0.7345019469304784,0.6776486893000213,-0.052936509,-0.04886274,-0.997401714,43.85246276855469,1.259346008300781,-19.83930969,-1,2
2025-01-19T19:42:51.681+08:00,171,1309840.022050375,1.653285688014112,-0.053948592,0.04732595670750926,-0.037287455,-0.034083497,0.02247006818652153,0.008650351315736771,0.01564626023173332,-0.010324359,XArbitraryCorrectedZVertical,0.03585676598743863,-0.000863705,0.7347558025352485,0.677382852479484,-0.05386205,-0.047308292,-0.997427106,43.68564605712891,1.318763732910156,-19.67993164,-1,2
2025-01-19T19:42:51.711+08:00,172,1309840.052278375,1.653452287189777,-0.055701615,0.0466792894782736,-0.011143543,-0.067517787,-0.006228058,-0.002691567,0.01844879239797592,-0.006239593,XArbitraryCorrectedZVertical,0.03628220724213323,-0.001692265,0.7347921975856035,0.6773191217375893,-0.055612173,-0.046662338,-0.997361481,43.42666625976562,1.313213348388672,-20.3850708,-1,2
2025-01-19T19:42:51.741+08:00,173,1309840.082506375,1.653189852635581,-0.057057252,0.04676743324447809,0.01112652942538261,-0.012005691,-0.016658556,0.0009795427322387695,0.01781967654824257,0.01025104522705078,XArbitraryCorrectedZVertical,0.03680978067327501,-0.002123774,0.7346769504601135,0.6774145652629922,-0.056963947,-0.046750385,-0.997281075,43.67503356933594,1.559902191162109,-20.97102356,-1,2
2025-01-19T19:42:51.771+08:00,174,1309840.113,1.652261088964836,-0.056590833,0.04627277272425107,-0.027559264,0.01311767753213644,-0.039071854,-0.00139166,0.02126231789588928,0.01472550630569458,XArbitraryCorrectedZVertical,0.03647014033636021,-0.002164662,0.7343798237905109,0.6777548563702176,-0.056500092,-0.046256263,-0.997330487,43.80860137939453,1.552427291870117,-20.35206604,-1,2
2025-01-19T19:42:51.802+08:00,175,1309840.143,1.651148885473679,-0.056122739,0.04632586685169957,0.02113977633416653,0.02298853732645512,-0.03025482,0.004397455602884293,0.004606984555721283,-0.007742047,XArbitraryCorrectedZVertical,0.03631511859183058,-0.00200671,0.734010365441807,0.6781636938075981,-0.056033101,-0.0463093,-0.997354388,43.85050201416016,1.644802093505859,-20.73147583,-1,2
